pathway_relation_id,gene_symbol,pathway_name,pathway_category,relation_type,biological_meaning,database_source,source_url,remark,collection_method,curation_type,evidence_scope
P001,TP53,p53通路,抑癌通路,参与,TP53参与DNA损伤应答、细胞周期阻滞和凋亡调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/7157,SCLC基础分子改变,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P002,RB1,RB通路,细胞周期通路,参与,RB1参与G1/S转换和细胞周期检查点调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/5925,SCLC基础分子改变,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P003,MYC,MYC通路,转录与增殖通路,参与,MYC参与转录调控、代谢重编程和细胞增殖,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4609,MYC家族核心成员,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P004,MYCL,MYC通路,转录与增殖通路,参与,MYCL属于MYC家族，参与增殖和转录调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4610,MYC家族成员,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P005,MYCN,MYC通路,转录与增殖通路,参与,MYCN属于MYC家族，参与增殖和分化调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4613,MYC家族成员,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P006,ASCL1,神经内分泌分化,细胞谱系程序,参与,ASCL1参与神经内分泌分化和细胞谱系维持,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/429,SCLC-A核心标志基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P007,NEUROD1,神经分化,细胞谱系程序,参与,NEUROD1参与神经分化和细胞状态调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4760,SCLC-N核心标志基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P008,POU2F3,tuft cell样分化,细胞分化程序,参与,POU2F3与tuft cell样分化状态相关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/25833,SCLC-P核心标志基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P009,YAP1,Hippo通路,生长调控通路,参与,YAP1是Hippo通路相关转录调控因子,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/10413,争议分型相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P010,NOTCH1,Notch信号通路,cell differentiation 通路,参与,NOTCH1参与细胞分化、发育和神经内分泌状态调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4851,通路调控基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P011,HES1,Notch信号通路,cell differentiation 通路,下游,HES1是Notch通路下游转录调控基因,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/3280,Notch通路下游基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
