feature_id,module,category,structured_content,interpretation,evidence_ids,data_usage
CF001,疾病性质,疾病本质,SCLC是高度恶性肺癌，属于高级别神经内分泌癌，具有明显神经内分泌分化特征。,用于说明为什么SCLC适合做知识库对象。,R1;R4;R5,disease表、PPT第2页
CF002,流行病学,占比,ACS指出SCLC约占肺癌10%-15%；NCI健康专业版指出SCLC约占支气管源性癌15%。,给项目背景提供定量数据。,R1;R3,PPT第2页、报告背景
CF003,进展特点,肿瘤生物学,SCLC生长迅速、侵袭性强，诊断时常已发生局部或远处播散。,总结其高恶性程度。,R1;R4;R5,临床特征表
CF004,转移特点,转移部位,常见远处转移部位包括脑、肝、骨、肾上腺、远处淋巴结和对侧肺等。,用于解释PCI、全身治疗和预后差。,R1;R4,知识图谱关系、报告
CF005,危险因素,环境/行为因素,吸烟/烟草暴露是最重要风险因素；二手烟、职业暴露、氡和空气污染等也属于肺癌相关风险因素。,用于disease.csv风险字段。,R1;R4,PPT第5页
CF006,常见症状,呼吸系统/全身症状,常见症状包括咳嗽加重、呼吸困难、胸痛、声音嘶哑、乏力、食欲下降、体重下降和咯血。,用于PPT临床表现模块。,R1;R2,临床特征表、网页
CF007,副肿瘤综合征,系统表现,部分患者可出现SIADH、异位ACTH导致的库欣综合征、Lambert-Eaton肌无力综合征等副肿瘤表现。,体现SCLC神经内分泌特征。,R1;R4,报告扩展内容
CF008,分期方式,临床分期,临床常按局限期和广泛期进行管理：局限期相对局限于可覆盖放疗范围，广泛期代表疾病超出局部控制范围。,用于治疗策略分层。,R1;R2,PPT第5页、treatment表
CF009,诊断方式,检查方法,诊断基于病史、体检、胸部影像、增强CT、病理活检及必要免疫组化，治疗前应确认病理类型。,用于诊断字段和报告。,R1;R4,disease表
CF010,预后特点,临床结局,SCLC对初始放化疗较敏感，但复发常见，整体预后不佳。,用于说明项目研究意义。,R1;R4;R5,PPT总结句
